TR_DATE,VOU_NO,VOU_TYPE,VOU_DATE,AC_NO,ACCOID,PROD_NO,PRODID,PR_BATCHNO,QTY,QTY_SCM,DISC_SCM,MRP,RATE,PR_PRATE,T_RATE,DISCOUNT,DISC_AMT,EXPIRY,SGST,CGST,IGST,CESS,SGSTAMT,CGSTAMT,IGSTAMT,CESSAMT,N_MRP,N_RATE,N_EXP,N_BATCHNO,SLMN_NO,FRE_REPL,IF_DISC,PR_PTR,PRFT_AMT,DOC_NO,SR_NO,RATE_2,RATE_3,STKKEY,EXTRASCM,SCM_GIVEN,SPLKEY,MAXCDPER,CDGIVEN,CDAMT,DPCO_DISC,SCHDRUG,VERSION,ORDER_NO,CR_DD,BILL_TYPE,PROCESSED,CNGORDEL,DELE,CNG_NO,CNG_DATE
2025-04-02,4,CCB,2025-04-02 11:46:03.999,,1061,   6636,,BHL24060,2,0,0.0,79.25,55.0,55.0,55.0,0.0,0.0,06/26,6.0,6.0,0.0,0.0,6.6,6.6,0.0,0.0,79.25,55.0,06/26,BHL24060,  2,0,True,55.0,0.0,,8,,,1138,False,,,0.0,0.0,0.0,False,False,0,,,,,C,D,  1,2025-04-02 00:00:00.000
2025-04-02,4,CCB,2025-04-02 11:46:03.999,,1061,   6637,,BHL24074,2,0,0.0,396.25,280.0,245.0,245.0,0.0,0.0,07/26,6.0,6.0,0.0,0.0,33.6,33.6,0.0,0.0,396.25,280.0,07/26,BHL24074,  2,0,True,280.0,70.0,,9,,,1139,False,,,0.0,0.0,0.0,False,False,0,,,,,C,,  1,2025-04-02 11:46:16.999
2025-04-02,4,CCB,2025-04-02 11:46:16.999,,1061,   6637,,BHL24074,2,0,0.0,396.25,280.0,245.0,245.0,0.0,0.0,07/26,6.0,6.0,0.0,0.0,33.6,33.6,0.0,0.0,396.25,280.0,07/26,BHL24074,  2,0,True,280.0,70.0,,10,,,1139,False,,,0.0,0.0,0.0,False,False,1,,,,,C,,  1,2025-04-02 11:46:45.000
2025-04-02,3,CCB,2025-04-02 11:44:34.999,,1093,   1927,,ELT5AE3011,1,0,0.0,3800.0,1875.0,1500.0,1500.0,0.0,0.0,10/26,6.0,6.0,0.0,0.0,112.5,112.5,0.0,0.0,3800.0,1875.0,10/26,ELT5AE3011,  2,0,False,1675.0,375.0,,6,,,196,False,,,0.0,0.0,0.0,False,False,0,,,,,C,,  1,2025-04-02 00:00:00.000
2025-04-02,3,CCB,2025-04-02 11:44:34.999,,1093,   6586,,ITHF407,30,0,0.0,26.38,11.0,4.49,4.49,0.0,0.0,05/26,6.0,6.0,0.0,0.0,19.8,19.8,0.0,0.0,26.38,11.0,05/26,ITHF407,  2,0,True,11.0,195.3,,7,,,904,False,,,0.0,0.0,0.0,False,False,0,,,,,C,,  1,2025-04-02 13:41:00.000
2025-04-03,6,CCB,2025-04-03 12:12:23.999,,1066,   6604,,25DB23D,7,0,0.0,214.0,46.85,45.0,45.0,0.0,0.0,01/27,6.0,6.0,0.0,0.0,19.677,19.677,0.0,0.0,214.0,46.85,01/27,25DB23D,  3,0,True,65.0,12.95,,14,,,1055,False,,,0.0,0.0,0.0,False,False,0,,,,,C,C,  1,2025-04-03 12:13:35.000
2025-04-03,5,CCB,2025-04-03 10:59:54.000,,1093,   6638,,LI532507E,50,0,0.0,470.35,130.0,99.0,99.0,0.0,0.0,01/27,2.5,2.5,0.0,0.0,162.5,162.5,0.0,0.0,470.35,130.0,01/27,LI532507E,  2,0,True,130.0,1550.0,,11,,,1142,False,,,0.0,0.0,0.0,False,False,0,,,,,C,D,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 10:59:54.000,,1093,   6640,,421,50,0,0.0,128.9,22.5,17.99,17.99,0.0,0.0,08/26,6.0,6.0,0.0,0.0,67.5,67.5,0.0,0.0,128.9,22.5,08/26,421,  2,0,True,22.5,225.5,,12,,,1144,False,,,0.0,0.0,0.0,False,False,0,,,,,C,,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 10:59:54.000,,1093,   6639,,24GL22N,10,0,0.0,2275.0,286.4,229.0,229.0,0.0,0.0,11/26,6.0,6.0,0.0,0.0,171.84,171.84,0.0,0.0,2275.0,286.4,11/26,24GL22N,  2,0,True,286.4,574.0,,13,,,1143,False,,,0.0,0.0,0.0,False,False,0,,,,,C,,  1,2025-04-03 12:51:32.000
2025-04-03,5,CCB,2025-04-03 12:51:32.000,,1093,   6640,,421,50,0,0.0,128.9,22.5,17.99,17.99,0.0,0.0,08/26,6.0,6.0,0.0,0.0,67.5,67.5,0.0,0.0,128.9,22.5,08/26,421,  2,0,True,22.5,225.5,,16,,,1144,False,,,0.0,0.0,0.0,False,False,1,,,,,C,,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 12:51:32.000,,1093,   6639,,24GL22N,10,0,0.0,2275.0,286.4,229.0,229.0,0.0,0.0,11/26,6.0,6.0,0.0,0.0,171.84,171.84,0.0,0.0,2275.0,286.4,11/26,24GL22N,  2,0,True,286.4,574.0,,17,,,1143,False,,,0.0,0.0,0.0,False,False,1,,,,,C,,  1,2025-04-03 12:52:33.999
2025-04-03,5,CCB,2025-04-03 12:52:33.999,,1093,   6640,,421,50,0,0.0,128.9,22.5,17.99,17.99,0.0,0.0,08/26,6.0,6.0,0.0,0.0,67.5,67.5,0.0,0.0,128.9,22.5,08/26,421,  2,0,True,22.5,225.5,,18,,,1144,False,,,0.0,0.0,0.0,False,False,2,,,,,C,,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 12:52:33.999,,1093,   6639,,24GL22N,10,0,0.0,2275.0,286.4,229.0,229.0,0.0,0.0,11/26,6.0,6.0,0.0,0.0,171.84,171.84,0.0,0.0,2275.0,286.4,11/26,24GL22N,  2,0,True,286.4,574.0,,19,,,1143,False,,,0.0,0.0,0.0,False,False,2,,,,,C,,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 12:52:33.999,,1093,   6638,,LI532507E,50,0,0.0,470.35,118.0,99.0,99.0,0.0,0.0,01/27,2.5,2.5,0.0,0.0,147.5,147.5,0.0,0.0,470.35,118.0,01/27,LI532507E,  2,0,True,118.0,950.0,,20,,,1142,False,,,0.0,0.0,0.0,False,False,2,,,,,C,,  1,2025-04-03 00:00:00.000
2025-04-03,5,CCB,2025-04-03 12:52:33.999,,1093,   6641,,L1542413D,75,0,0.0,705.53,130.0,109.0,109.0,0.0,0.0,03/26,6.0,6.0,0.0,0.0,585.0,585.0,0.0,0.0,705.53,130.0,03/26,L1542413D,  2,0,True,130.0,1575.0,,21,,,1145,False,,,0.0,0.0,0.0,False,False,2,,,,,C,,  1,2025-04-03 00:00:00.000
