BILL_NO,BILL_DT,ACT_DT,DUE_DT,AC_NO,ACCOID,AMT_NET,DISCOUNT,AMT_RCD,AMT_BAL,GROS_AMT,SCM_DISC,DISC_PER,DISC_AMT,CASH_DISC,SURCHARGE,CHLN_NO,CHLN_DT,SPL_DISC,FREIGHT,VOU_NO,VOU_TYPE,VOU_SERIS,CRDB_AMT,VOU_DATE,TOT_OCT,TOT_ST,TOT_CST,TOT_EX,TOT_OCT2,CR_AMT,DR_AMT,TOT_SCM,TOT_DISC,ENT_NO,DEBIT,TR_DATE,CREDIT,ACC_NO,DOC_NO,FORM_31,CLER,SCM_ST,TOT_SUR,TOT_TOT,TOT_ST4,TOT_ST12,TOT_STO,ADD_ST,TOT_ST4I,ROUND,NARA,CNG_DATE,CNG_NO,VKEY_NOTYP
NBPL/16,2025-04-02,2025-04-03 10:53:05.000,2025-04-03,,1096,12576.0,,0.0,12576.0,11537.5,,0.0,0.0,,0.0,,,,0.0,5,PR1,2526,,2025-04-03,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.5,,2025-04-03,  1,    5PR1
CCB1108,2025-04-12,2025-04-12 13:40:16.998,2025-04-12,,1031,7674.0,,0.0,7674.0,6865.0,,0.0,0.0,,0.0,,,,0.0,12,PR1,2526,,2025-04-12,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.2,,2025-04-12,  1,   12PR1
NCC/3654,2025-04-12,2025-04-12 13:50:50.000,2025-04-12,,1003,6103.0,,0.0,6103.0,5571.4,,0.0,0.0,,0.0,,,,0.0,15,PR1,2526,,2025-04-12,,,,0.0,,0.0,0.0,0.0,122.14,  1,         0,,,,,,,,,,,,,,,-0.18,,2025-04-12,  1,   15PR1
CCB1197,2025-04-14,2025-04-14 13:47:38.000,2025-04-14,,1003,3470.0,,0.0,3470.0,3098.52,,0.0,0.0,,0.0,,,,0.0,21,PR1,2526,,2025-04-14,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.34,,2025-04-14,  1,   21PR1
CCB1197,2025-04-14,2025-04-14 13:47:38.000,2025-04-14,,1031,2160.0,,0.0,2160.0,1928.52,,0.0,0.0,,0.0,,,,0.0,21,PR1,2526,,2025-04-14,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.06,,2025-04-14,  1,   21PR1
NCC/5118,2025-04-17,2025-04-17 08:53:12.998,2025-04-17,,1003,1792.0,,0.0,1792.0,1600.0,,0.0,0.0,,0.0,,,,0.0,28,PR1,2526,,2025-04-17,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.0,,2025-04-17,  1,   28PR1
CCB1108,2025-04-12,2025-04-12 13:40:16.998,2025-04-12,,1031,7674.0,,0.0,7674.0,6865.0,,0.0,0.0,,0.0,,,,0.0,12,PR1,2526,,2025-04-12,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.2,,2025-04-19,  1,   12PR1
CCB2161,2025-04-25,2025-04-25 12:24:37.998,2025-04-25,,1031,578.0,,0.0,578.0,550.0,,0.0,0.0,,0.0,,,,0.0,46,PR1,2526,,2025-04-25,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.5,,2025-04-25,  1,   46PR1
PED,2025-04-22,2025-04-22 17:29:20.000,2025-04-22,,1100,4133.0,,0.0,4133.0,3690.0,,0.0,0.0,,0.0,,,,0.0,42,PR1,2526,,2025-04-22,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.2,,2025-04-25,  1,   42PR1
NCC/8669,2025-04-29,2025-04-29 18:35:31.999,2025-04-29,,1003,2412.0,,0.0,2412.0,2180.0,,0.0,0.0,,0.0,,,,0.0,53,PR1,2526,,2025-04-29,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.2,,2025-04-29,  1,   53PR1
CASH 10547,2025-05-02,2025-05-02 15:47:00.998,2025-05-02,,1018,3507.0,,0.0,3507.0,3131.42,,0.0,0.0,,0.0,,,,0.0,64,PR1,2526,,2025-05-02,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.18,,2025-05-02,  1,   64PR1
CASH 10547,2025-05-02,2025-05-02 15:47:00.998,2025-05-02,,1018,3402.0,,0.0,3402.0,3131.42,,3.0,93.94,,0.0,,,,0.0,64,PR1,2526,,2025-05-02,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.04,,2025-05-02,  1,   64PR1
A/4937,2025-05-12,2025-05-12 11:24:26.999,2025-05-12,,1100,639.0,,0.0,639.0,603.0,,0.0,0.0,,0.0,,,,0.0,79,PR1,2526,,2025-05-12,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.18,,2025-05-12,  1,   79PR1
1696,2025-05-23,2025-05-23 11:56:47.000,2025-05-23,,1008,861.0,,0.0,861.0,820.0,,0.0,0.0,,0.0,,,,0.0,98,PR1,2526,,2025-05-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.0,,2025-05-23,  1,   98PR1
C/C3202,2025-05-29,2025-05-29 12:23:34.000,2025-05-29,,1016,132.0,,0.0,132.0,117.5,,0.0,0.0,,0.0,,,,0.0,106,PR1,2526,,2025-05-29,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.4,,2025-05-29,  1,  106PR1
LCC,2025-05-28,2025-05-28 14:10:50.999,2025-05-28,,1003,952.0,,0.0,952.0,850.0,,0.0,0.0,,0.0,,,,0.0,105,PR1,2526,,2025-05-28,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.0,,2025-05-30,  1,  105PR1
CR/941,2025-06-06,2025-06-06 15:21:39.998,2025-06-06,,1026,554.0,,0.0,554.0,495.0,,0.0,0.0,,0.0,,,,0.0,119,PR1,2526,,2025-06-06,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.4,,2025-06-06,  1,  119PR1
C/C713,2025-06-21,2025-06-21 18:29:50.999,2025-06-21,,1016,3203.0,,0.0,3203.0,2860.0,,0.0,0.0,,0.0,,,,0.0,155,PR1,2526,,2025-06-21,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.2,,2025-06-21,  1,  155PR1
C/C713,2025-06-21,2025-06-21 18:29:50.999,2025-06-21,,1016,3086.0,,0.0,3086.0,2755.0,,0.0,0.0,,0.0,,,,0.0,155,PR1,2526,,2025-06-21,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.4,,2025-06-21,  1,  155PR1
CH/1207,2025-06-21,2025-06-21 19:11:14.998,2025-06-21,,157,3305.0,,0.0,3305.0,2955.0,,0.0,0.0,,0.0,,,,0.0,157,PR1,2526,,2025-06-21,,,,0.0,,0.0,0.0,0.0,4.2,  1,         0,,,,,,,,,,,,,,,0.1,,2025-06-21,  1,  157PR1
2526CCB3780,2025-07-03,2025-07-07 11:36:06.000,2025-07-07,,1078,4178.0,,0.0,4178.0,3790.28,,0.0,0.0,,0.0,,,,0.0,172,PR1,2526,,2025-07-07,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.16,,2025-07-07,  1,  172PR1
C/C6659,2025-07-19,2025-07-22 15:10:58.000,2025-07-22,,1016,4351.0,,0.0,4351.0,3883.32,,0.0,0.0,,0.0,,,,0.0,195,PR1,2526,,2025-07-22,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.12,,2025-07-22,  1,  195PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-07-23,  1,  198PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-07-23,  1,  198PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-07-24,  1,  198PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-07-26,  1,  198PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-07-26,  1,  198PR1
CASH 11927,2025-08-06,2025-08-06 11:27:17.999,2025-08-06,,1063,1820.0,,0.0,1820.0,1625.0,,0.0,0.0,,0.0,,,,0.0,209,PR1,2526,,2025-08-06,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.0,,2025-08-06,  1,  209PR1
CA/51437,2025-07-14,2025-07-23 18:47:35.998,2025-07-23,,1118,59624.0,,0.0,59624.0,53235.98,,0.0,0.0,,0.0,,,,0.0,198,PR1,2526,,2025-07-23,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,-0.3,,2025-08-06,  1,  198PR1
NBPL/16,2025-04-02,2025-04-03 10:53:05.000,2025-04-03,,1096,24784.0,,0.0,24784.0,22437.5,,0.0,0.0,,0.0,,,,0.0,5,PR1,2526,,2025-04-03,,,,0.0,,0.0,0.0,0.0,0.0,  1,         0,,,,,,,,,,,,,,,0.5,,2025-09-17,  1,    5PR1
