BILL_NO,BILL_DT,PROD_NO,PRODID,PR_BATCHNO,QTY,QTY_SCM,QTY_REPL,AC_NO,ACCOID,MRP,PR_SRATE,PUR_RATE,PR_TRATE,PR_DISC,SGST,CGST,SGSTAMT,CGSTAMT,PR_MARGIN,DISC_AMT,DISC_SCM,EXPIRY,COMP,CHLN_NO,CHLN_DT,VOU_NO,VOU_TYPE,VKEY_NOTYP,VOU_SERIS,VOU_DATE,PR_PTR,PR_SRATE2,PR_SRATE3,PR_PER2,PR_PER3,S_CODE,PR_SCM,SUR_AMT,TOT_AMT,SCM_AMT,ADD_VINP,ADD_VINS,MRP_INCL,IF_INCL,PR_EXAMT
NBPL/16,2025-04-02,   6583,0,25DB39Y,200,0,0,,1096,69.8,22.0,16.99,16.99,0.0,6.0,6.0,203.88,203.88,0.0,0.0,,01/27,,,,5,PR1,    5PR1,2526,2025-04-03,22.0,24.1,24.1,0.0,0.0,,0.0,,,0.0,,,,,0.0
NBPL/16,2025-04-02,   6638,0,LI532507E,50,0,0,,1096,470.35,130.0,99.0,99.0,0.0,2.5,2.5,123.75,123.75,0.0,0.0,,01/27,,,,5,PR1,    5PR1,2526,2025-04-03,130.0,130.0,130.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
NBPL/16,2025-04-02,   6639,0,24GL22N,10,0,0,,1096,2275.0,286.4,229.0,229.0,0.0,6.0,6.0,137.4,137.4,0.0,0.0,,11/26,,,,5,PR1,    5PR1,2526,2025-04-03,286.4,358.0,358.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
NBPL/16,2025-04-02,   6640,0,421,50,0,0,,1096,128.9,22.5,17.99,17.99,0.0,6.0,6.0,53.97,53.97,0.0,0.0,,08/26,,,,5,PR1,    5PR1,2526,2025-04-03,22.5,22.5,22.5,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3930,0,394070,2,0,0,,1031,2452.0,780.0,720.0,720.0,0.0,6.0,6.0,86.4,86.4,0.0,0.0,,06/26,,,,12,PR1,   12PR1,2526,2025-04-12,780.0,775.0,775.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3930,0,394069,3,0,0,,1031,2452.0,780.0,720.0,720.0,0.0,6.0,6.0,129.6,129.6,0.0,0.0,,05/26,,,,12,PR1,   12PR1,2526,2025-04-12,780.0,775.0,775.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3932,0,393217,1,0,0,,1031,1773.0,517.86,460.0,460.0,0.0,6.0,6.0,27.6,27.6,0.0,0.0,,12/26,,,,12,PR1,   12PR1,2526,2025-04-12,517.86,517.86,517.86,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3932,0,393199,1,0,0,,1031,1773.0,517.86,460.0,460.0,0.0,6.0,6.0,27.6,27.6,0.0,0.0,,07/26,,,,12,PR1,   12PR1,2526,2025-04-12,517.86,517.86,517.86,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3931,0,392042,5,0,0,,1031,581.5,214.28,140.0,140.0,0.0,6.0,6.0,42.0,42.0,0.0,0.0,,10/26,,,,12,PR1,   12PR1,2526,2025-04-12,214.28,214.28,214.28,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1170,0,OL0528,2,0,0,,1031,222.0,75.0,60.0,60.0,0.0,6.0,6.0,7.2,7.2,0.0,0.0,,02/5,,,,12,PR1,   12PR1,2526,2025-04-12,75.0,75.0,75.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1171,0,DRI2427BC,2,0,0,,1031,1177.0,207.14,187.5,187.5,0.0,6.0,6.0,22.5,22.5,0.0,0.0,,10/26,,,,12,PR1,   12PR1,2526,2025-04-12,207.14,320.0,320.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1157,0,CSI2507BC,5,0,0,,1031,396.75,287.0,180.0,180.0,0.0,6.0,6.0,54.0,54.0,0.0,0.0,,12/26,,,,12,PR1,   12PR1,2526,2025-04-12,287.0,190.0,190.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1156,0,CSI2507AC,5,0,0,,1031,79.0,60.0,50.0,50.0,0.0,3.0,3.0,7.5,7.5,0.0,0.0,,12/26,,,,12,PR1,   12PR1,2526,2025-04-12,60.0,60.0,60.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
NCC/3654,2025-04-12,   2706,0,GD25198A,10,1,0,,1003,570.0,407.14,359.02,407.14,3.0,6.0,6.0,236.96,236.96,0.0,122.142,,02/27,,,,15,PR1,   15PR1,2526,2025-04-12,407.14,407.14,407.14,0.0,0.0,,0.0,,,0.0,,,,,0.0
NCC/3654,2025-04-12,   2708,0,GMLJ24A11H,5,0,0,,1003,1455.5,465.0,300.0,300.0,0.0,6.0,6.0,90.0,90.0,0.0,0.0,,09/26,,,,15,PR1,   15PR1,2526,2025-04-12,465.0,465.0,465.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1197,2025-04-14,   6650,0,ELD7AM4011,3,0,0,,1003,2345.64,613.0,390.0,390.0,0.0,6.0,6.0,70.2,70.2,0.0,0.0,,09/26,,,,21,PR1,   21PR1,2526,2025-04-14,613.0,613.0,613.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1197,2025-04-14,   2383,0,05241726,12,0,0,,1003,1314.0,225.0,160.71,160.71,0.0,6.0,6.0,115.71,115.71,0.0,0.0,,10/26,,,,21,PR1,   21PR1,2526,2025-04-14,225.0,280.0,280.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1197,2025-04-14,   2383,0,05241726,12,0,0,,1031,1314.0,225.0,160.71,160.71,0.0,6.0,6.0,115.71,115.71,0.0,0.0,,10/26,,,,21,PR1,   21PR1,2526,2025-04-14,225.0,280.0,280.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
NCC/5118,2025-04-17,    456,0,M11022502A,1,0,0,,1003,3290.0,1605.0,1600.0,1600.0,0.0,6.0,6.0,96.0,96.0,0.0,0.0,,12/28,,,,28,PR1,   28PR1,2526,2025-04-17,1804.2,1804.2,1804.2,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3930,0,394070,2,0,0,,1031,2452.0,780.0,720.0,720.0,0.0,6.0,6.0,86.4,86.4,0.0,0.0,,06/26,,,,12,PR1,   12PR1,2526,2025-04-12,780.0,775.0,775.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3930,0,394069,3,0,0,,1031,2452.0,780.0,720.0,720.0,0.0,6.0,6.0,129.6,129.6,0.0,0.0,,05/26,,,,12,PR1,   12PR1,2526,2025-04-12,780.0,775.0,775.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3932,0,393217,1,0,0,,1031,1773.0,517.86,460.0,460.0,0.0,6.0,6.0,27.6,27.6,0.0,0.0,,12/26,,,,12,PR1,   12PR1,2526,2025-04-12,517.86,517.86,517.86,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3932,0,393199,1,0,0,,1031,1773.0,517.86,460.0,460.0,0.0,6.0,6.0,27.6,27.6,0.0,0.0,,07/26,,,,12,PR1,   12PR1,2526,2025-04-12,517.86,517.86,517.86,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   3931,0,392042,5,0,0,,1031,581.5,214.28,140.0,140.0,0.0,6.0,6.0,42.0,42.0,0.0,0.0,,10/26,,,,12,PR1,   12PR1,2526,2025-04-12,214.28,214.28,214.28,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1170,0,OL0528,2,0,0,,1031,222.0,75.0,60.0,60.0,0.0,6.0,6.0,7.2,7.2,0.0,0.0,,09/25,,,,12,PR1,   12PR1,2526,2025-04-12,75.0,75.0,75.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1171,0,DRI2427BC,2,0,0,,1031,1177.0,207.14,187.5,187.5,0.0,6.0,6.0,22.5,22.5,0.0,0.0,,10/26,,,,12,PR1,   12PR1,2526,2025-04-12,207.14,320.0,320.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
CCB1108,2025-04-12,   1157,0,CSI2507BC,5,0,0,,1031,396.75,287.0,180.0,180.0,0.0,6.0,6.0,54.0,54.0,0.0,0.0,,12/26,,,,12,PR1,   12PR1,2526,2025-04-12,287.0,190.0,190.0,0.0,0.0,,0.0,,,0.0,,,,,0.0
