CATAGORY,DOC_TYPE,DESCRIPT,OPENPDF,PATH,TAGS,SRNO,TYPE,FORM
1,TRANSACTIONS,ALL THE OPTIONS RELATED TO TRANSACTION HAS BEEN PROVIDED BELOW,                   1,,,0,H,
2,SALES BILL  ENTRY,IT RPOVIDES FOLLOWING OPTIONS:,                   2,Transaction >,,0,H,
3,SALES BILL  ENTRY,THIS OPTION IS SAME AS SALE ENTRY(F2). IN CASE YOUR MOUSE IS NOT WORKING  USE THIS OPTION,                   3,Transaction > Sales Bill Entry,,0,H,
3,COUNTER SALE,THIS OPTION IS SAME AS RETAILERS COUNTER SALE IN THIS OPTION YOU CAN BILL ON MRP AND RATE,                   4,Transaction > Sales Bill Entry,,0,H,
3,TYPE CHANGE,THIS OPTION IS USED WHEN YOU WANT TO CHANGE TYPE OF BILL AND DATE OF THE BILL,                   5,Transaction > Sales Bill Entry,,0,H,
3,SALES ACCOUNT ONLY,THIS OPTION IS USED WHEN YOU DONT WANT TO ENTER PRODUCT AND DO BILL FOR ONLY ACCOUNTING PURPOSE,                   6,Transaction > Sales Bill Entry,,0,H,
2,CHALLAN,OPTIONS RELATED TO CHALLAN HAS BEEN PROVIDED BELOW,                   7,Transaction >,,0,H,
3,CREATE CHALLAN,IN THIS OPTION YOU CAN CREATE CHALLAN,                   8,Transaction > Challan >,,0,H,
3,CREATE SALE BILL FROM CHLN,USING THIS OPTION YOU CAN CREATE SALE BILL FROM CHALLAN,                   9,Transaction > Challan >,,0,H,
2,STOCK TRANSFER GODOWN TO SHOP,THIS OPTION IS USED TO TRANSFER GODOWN STOCK TO SHOP,                  10,Transaction >,,0,H,
2,PURCHASE ENTRY,THIS OPTION SHOWS PURCHASE ENTERY OPTIONS,                  11,Transaction >,,0,H,
3,REGULAR,THIS OPTION IS USED TO ENTER PURCHASE BILL,                  12,Transaction > Purchase Entry >,,0,H,
3,ACCOUNTS,THIS OPTION IS USED TO CREATE PURCHASE BILL WITHOUT PRODUCT JUST FOR ACCOUNTING PURPOSE,                  13,Transaction > Purchase Entry >,,0,H,
2,SCHEME ENTRY,IN THIS OPTION YOU CAN GIVE UPTO THREE TYPE OF SCHEMES TO PRODUCT,                  14,Transaction >,,0,H,schemeall
2,CREDIT NOTE,"HERE YOU CAN ENTER PRODUCT RETURN FORM CUSTOMER I.E, CERDIT NOTE",                  15,Transaction >,Sales Return customer goods,0,H,
3,CREDIT NOTE( STOCK),THIS OPTION IS USED WHEN YOU WANT TO ADD RETURN PRODUCT INTO STOCK,                  16,Transaction > Credit Note(Stoc,,0,H,
3,CREDIT NOTE (EXPIRY),THIS OPTION IS USED WHEN RETURNED PRODUCTS ARE EXPIRED,                  17,Transaction > Credit Note(Expi,,0,H,
3,CREDIT NOTE (AMOUNT),THIS OPTIN IS USED WHEN YOU DONT WANT TO TAKE PRODUCT RETURN ONLY AMOUNT IS DEDUCTED,                  18,Transaction > Credit Note(Amou,,0,H,
3,CREDIT NOTE (DPCO),,                  19,Transaction > Credit Note(DPCO,,0,H,
2,DEBIT NOTE,HERE YOU CAN ENTER PRODUCT WHICH YOU WNAT TO RETURN TO CREDITOR,                  20,Transaction >,,0,H,
3,INVENTORY,DEBIT NOTE WITH PRODUCT,                  21,Transaction > Debit Note,,0,H,
3,AMOUNT,DEBIT NOTE OF AMOUNT WITHOUT PRODUCT,                  22,Transaction > Debit Note,,0,H,
2,CASH ENTRY,THIS OPTION IS  USED FOR CASH TRANSACTION ENTRIES,                  23,Transaction >,,0,H,
3,CASH RECEIPT ENTRY (F5),HERE YOU CAN DO ENTERY OF CASH RECEIVED,cashrcptentry,Transaction > Cash Entry >,,0,H,
3,CASH PAID ENTRY (F6),HERE YOU CAN DO ENTERY OF CASH YOU WNAT TO PAY,cashpaidentry,Transaction > Cash Entry >,,0,H,
3,FAST CASH RECEIPT,HERE YOU CAN ENTER CASH RECEIVED FROM SALESMAN AS PER BILL NO,                  26,Transaction > Cash Entry >,,0,H,
3,CASH BILLS MARKING,,                  27,Transaction > Cash Entry >,,0,H,
2,CHEQUE ENTRY,THIS OPTION IS USED FOR CHEQUE TRANSACTION,                  28,Transaction >,,0,H,
3,CHEQUE RECEIPT ENTRY,HERE YOU CAN ENTER CHEQUE RECEIVED,                  29,Transaction > Cheque Entry >,,0,H,
3,CHEQUE PAID ENTRY,HERE YOU CAN DO CHEQUE PAID ENTERY,                  30,Transaction > Cheque Entry >,,0,H,
